AREA_TITLE,OCC_TITLE,A_MEAN
Alabama,Management Analysts,"112,390"
Alabama,Financial and Investment Analysts,"99,640"
Alabama,Database Administrators,"89,510"
Alabama,Database Architects,"114,400"
Alabama,Data Scientists,"99,040"
Alaska,Management Analysts,"105,470"
Alaska,Financial and Investment Analysts,"110,580"
Alaska,Database Administrators,"90,370"
Alaska,Database Architects,"125,650"
Alaska,Data Scientists,"91,710"
Arizona,Management Analysts,"97,980"
Arizona,Financial and Investment Analysts,"101,630"
Arizona,Database Administrators,"104,470"
Arizona,Database Architects,"121,080"
Arizona,Data Scientists,"112,470"
Arkansas,Management Analysts,"77,180"
Arkansas,Financial and Investment Analysts,"84,690"
Arkansas,Database Administrators,"91,160"
Arkansas,Database Architects,"96,180"
Arkansas,Data Scientists,"117,250"
California,Management Analysts,"119,370"
California,Financial and Investment Analysts,"125,220"
California,Database Administrators,"116,380"
California,Database Architects,"162,660"
California,Data Scientists,"140,490"
Colorado,Management Analysts,"105,670"
Colorado,Financial and Investment Analysts,"113,480"
Colorado,Database Administrators,"116,470"
Colorado,Database Architects,"141,890"
Colorado,Data Scientists,"120,320"
Connecticut,Management Analysts,"115,530"
Connecticut,Financial and Investment Analysts,"117,060"
Connecticut,Database Administrators,"109,950"
Connecticut,Database Architects,"140,610"
Connecticut,Data Scientists,"120,480"
Delaware,Management Analysts,"101,500"
Delaware,Financial and Investment Analysts,"109,110"
Delaware,Database Administrators,"105,350"
Delaware,Database Architects,"153,570"
Delaware,Data Scientists,"130,520"
District of Columbia,Management Analysts,"120,480"
District of Columbia,Financial and Investment Analysts,"115,620"
District of Columbia,Database Administrators,"116,470"
District of Columbia,Database Architects,"162,980"
District of Columbia,Data Scientists,"128,810"
Florida,Management Analysts,"95,920"
Florida,Financial and Investment Analysts,"96,010"
Florida,Database Administrators,"104,590"
Florida,Database Architects,"122,790"
Florida,Data Scientists,"106,490"
Georgia,Management Analysts,"110,250"
Georgia,Financial and Investment Analysts,"100,010"
Georgia,Database Administrators,"106,880"
Georgia,Database Architects,"147,250"
Georgia,Data Scientists,"108,010"
Hawaii,Management Analysts,"91,270"
Hawaii,Financial and Investment Analysts,"84,850"
Hawaii,Database Administrators,"90,300"
Hawaii,Database Architects,"137,690"
Hawaii,Data Scientists,"126,080"
Idaho,Management Analysts,"88,050"
Idaho,Financial and Investment Analysts,"86,300"
Idaho,Database Administrators,"83,500"
Idaho,Database Architects,"133,130"
Idaho,Data Scientists,"126,190"
Illinois,Management Analysts,"121,310"
Illinois,Financial and Investment Analysts,"120,390"
Illinois,Database Administrators,"108,650"
Illinois,Database Architects,"124,240"
Illinois,Data Scientists,"115,840"
Indiana,Management Analysts,"94,760"
Indiana,Financial and Investment Analysts,"86,530"
Indiana,Database Administrators,"76,130"
Indiana,Database Architects,"93,180"
Indiana,Data Scientists,"92,520"
Iowa,Management Analysts,"91,630"
Iowa,Financial and Investment Analysts,"91,130"
Iowa,Database Administrators,"93,890"
Iowa,Database Architects,"130,660"
Iowa,Data Scientists,"98,550"
Kansas,Management Analysts,"87,770"
Kansas,Financial and Investment Analysts,"82,250"
Kansas,Database Administrators,"117,660"
Kansas,Database Architects,"161,820"
Kansas,Data Scientists,"107,000"
Kentucky,Management Analysts,"90,240"
Kentucky,Financial and Investment Analysts,"74,340"
Kentucky,Database Administrators,"83,570"
Kentucky,Database Architects,"99,270"
Kentucky,Data Scientists,"96,290"
Louisiana,Management Analysts,"104,940"
Louisiana,Financial and Investment Analysts,"65,070"
Louisiana,Database Administrators,"91,760"
Louisiana,Database Architects,"103,870"
Louisiana,Data Scientists,"74,330"
Maine,Management Analysts,"89,970"
Maine,Financial and Investment Analysts,"90,080"
Maine,Database Administrators,"97,060"
Maine,Database Architects,"118,990"
Maine,Data Scientists,"107,370"
Maryland,Management Analysts,"117,360"
Maryland,Financial and Investment Analysts,"109,650"
Maryland,Database Administrators,"117,750"
Maryland,Database Architects,"150,590"
Maryland,Data Scientists,"126,020"
Massachusetts,Management Analysts,"134,350"
Massachusetts,Financial and Investment Analysts,"127,760"
Massachusetts,Database Administrators,"117,870"
Massachusetts,Database Architects,"152,850"
Massachusetts,Data Scientists,"125,100"
Michigan,Management Analysts,"98,520"
Michigan,Financial and Investment Analysts,"95,710"
Michigan,Database Administrators,"92,980"
Michigan,Database Architects,"114,390"
Michigan,Data Scientists,"96,500"
Minnesota,Management Analysts,"102,380"
Minnesota,Financial and Investment Analysts,"102,950"
Minnesota,Database Administrators,"101,260"
Minnesota,Database Architects,"128,380"
Minnesota,Data Scientists,"118,760"
Mississippi,Management Analysts,"83,720"
Mississippi,Financial and Investment Analysts,"86,580"
Mississippi,Database Administrators,"82,270"
Mississippi,Database Architects,"79,750"
Mississippi,Data Scientists,"72,220"
Missouri,Management Analysts,"103,400"
Missouri,Financial and Investment Analysts,"86,310"
Missouri,Database Administrators,"90,660"
Missouri,Database Architects,"106,560"
Missouri,Data Scientists,"88,210"
Montana,Management Analysts,"87,610"
Montana,Financial and Investment Analysts,"128,720"
Montana,Database Administrators,"83,750"
Montana,Database Architects,"117,220"
Montana,Data Scientists,"101,350"
Nebraska,Management Analysts,"89,650"
Nebraska,Financial and Investment Analysts,"91,370"
Nebraska,Database Administrators,"87,940"
Nebraska,Database Architects,"130,230"
Nebraska,Data Scientists,"94,960"
Nevada,Management Analysts,"93,930"
Nevada,Financial and Investment Analysts,"95,200"
Nevada,Database Administrators,"86,080"
Nevada,Database Architects,"130,500"
Nevada,Data Scientists,"96,800"
New Hampshire,Management Analysts,"119,500"
New Hampshire,Financial and Investment Analysts,"95,870"
New Hampshire,Database Administrators,"103,610"
New Hampshire,Database Architects,"123,150"
New Hampshire,Data Scientists,"97,330"
New Jersey,Management Analysts,"122,840"
New Jersey,Financial and Investment Analysts,"128,280"
New Jersey,Database Administrators,"122,460"
New Jersey,Database Architects,"158,930"
New Jersey,Data Scientists,"134,140"
New Mexico,Management Analysts,"85,070"
New Mexico,Financial and Investment Analysts,"90,340"
New Mexico,Database Administrators,"96,950"
New Mexico,Database Architects,"118,590"
New Mexico,Data Scientists,"88,720"
New York,Management Analysts,"126,450"
New York,Financial and Investment Analysts,"143,330"
New York,Database Administrators,"104,230"
New York,Database Architects,"144,140"
New York,Data Scientists,"134,830"
North Carolina,Management Analysts,"109,220"
North Carolina,Financial and Investment Analysts,"104,610"
North Carolina,Database Administrators,"104,480"
North Carolina,Database Architects,"122,460"
North Carolina,Data Scientists,"125,950"
North Dakota,Management Analysts,"97,190"
North Dakota,Financial and Investment Analysts,"82,130"
North Dakota,Database Administrators,"82,660"
North Dakota,Database Architects,"106,250"
North Dakota,Data Scientists,"102,410"
Ohio,Management Analysts,"95,860"
Ohio,Financial and Investment Analysts,"95,600"
Ohio,Database Administrators,"94,860"
Ohio,Database Architects,"121,620"
Ohio,Data Scientists,"97,530"
Oklahoma,Management Analysts,"87,360"
Oklahoma,Financial and Investment Analysts,"89,500"
Oklahoma,Database Administrators,"85,550"
Oklahoma,Database Architects,"119,940"
Oklahoma,Data Scientists,"93,020"
Oregon,Management Analysts,"98,710"
Oregon,Financial and Investment Analysts,"103,840"
Oregon,Database Administrators,"103,070"
Oregon,Database Architects,"132,460"
Oregon,Data Scientists,"124,480"
Pennsylvania,Management Analysts,"98,460"
Pennsylvania,Financial and Investment Analysts,"94,400"
Pennsylvania,Database Administrators,"100,160"
Pennsylvania,Database Architects,"121,960"
Pennsylvania,Data Scientists,"102,370"
Rhode Island,Management Analysts,"114,260"
Rhode Island,Financial and Investment Analysts,"97,090"
Rhode Island,Database Administrators,"107,670"
Rhode Island,Database Architects,"118,510"
Rhode Island,Data Scientists,"127,380"
South Carolina,Management Analysts,"96,820"
South Carolina,Financial and Investment Analysts,"102,870"
South Carolina,Database Administrators,"101,420"
South Carolina,Database Architects,"126,340"
South Carolina,Data Scientists,"100,790"
South Dakota,Management Analysts,"87,200"
South Dakota,Financial and Investment Analysts,"86,050"
South Dakota,Database Administrators,"83,290"
South Dakota,Database Architects,"116,210"
South Dakota,Data Scientists,"97,940"
Tennessee,Management Analysts,"93,870"
Tennessee,Financial and Investment Analysts,"95,160"
Tennessee,Database Administrators,"104,490"
Tennessee,Database Architects,"119,530"
Tennessee,Data Scientists,"97,710"
Texas,Management Analysts,"106,600"
Texas,Financial and Investment Analysts,"102,590"
Texas,Database Administrators,"100,490"
Texas,Database Architects,"139,570"
Texas,Data Scientists,"109,000"
Utah,Management Analysts,"86,780"
Utah,Financial and Investment Analysts,"99,050"
Utah,Database Administrators,"97,700"
Utah,Database Architects,"145,400"
Utah,Data Scientists,"101,780"
Vermont,Management Analysts,"125,240"
Vermont,Financial and Investment Analysts,"108,800"
Vermont,Database Administrators,"99,430"
Vermont,Database Architects,"152,540"
Vermont,Data Scientists,"124,430"
Virginia,Management Analysts,"80,272"
Virginia,Financial and Investment Analysts,"113,800"
Virginia,Database Administrators,"109,790"
Virginia,Database Architects,"143,300"
Virginia,Data Scientists,"139,080"
Washington,Management Analysts,"119,390"
Washington,Financial and Investment Analysts,"100,860"
Washington,Database Administrators,"116,710"
Washington,Database Architects,"154,430"
Washington,Data Scientists,"148,730"
West Virginia,Management Analysts,"93,020"
West Virginia,Financial and Investment Analysts,"74,500"
West Virginia,Database Administrators,"74,570"
West Virginia,Database Architects,"103,550"
West Virginia,Data Scientists,"94,330"
Wisconsin,Management Analysts,"109,660"
Wisconsin,Financial and Investment Analysts,"102,090"
Wisconsin,Database Administrators,"95,840"
Wisconsin,Database Architects,"130,180"
Wisconsin,Data Scientists,"105,250"
Wyoming,Management Analysts,"126,840"
Wyoming,Database Administrators,"82,620"
Wyoming,Database Architects,"61,130"
Wyoming,Data Scientists,"125,330"
